idproduto;ean;descricaoproduto;pisclassificacaofiscal;pisaliquota;cofinsclassificacaofiscal;cofinsaliquota;csosn;codigoncm;aliquota;
38672;"7896001200111";"GELEIA FRUTA LINEA ZERO FRUTAS VERMELHAS 230G";"49";0,00;"49";0,00;"500";"20079910";0,00;
38673;"7896001210103";"ADOCANTE LINEA STEVIA 60ML";"49";0,00;"49";0,00;"102";"21069090";0,00;
38674;"7899710007002";"LAMPADA ECONOMICA KIAN 20W";"";1,21;"";0,00;"500";"85393119";0,00;
38585;"7896996602594";"CORDA VARAL N5 EXTRA 10M";"49";0,00;"49";0,00;"102";"56074900";0,00;
38586;"7896996602600";"CORDA VARAL SUPER N10 10M";"49";0,00;"49";0,00;"102";"56074900";0,00;
37462;"7899360201812";"ESCOVA DENTAL POPDENTE SMILE";"04";0,00;"04";0,00;"102";"96032100";0,00;
37463;"7899360201799";"ESCOVA DENTAL POPDENTE WINX";"04";0,00;"04";0,00;"102";"96032100";0,00;
37464;"7899360210180";"ESCOVA DENTAL POPDENTE ADULTO DURA";"04";0,00;"04";0,00;"102";"96032100";0,00;
38587;"7896996602587";"CORDA VARAL N3 CORDINHA 10M";"49";0,00;"49";0,00;"102";"56074900";0,00;
36819;"7896799210200";"PIMENTA MALAGUETA 35G";"49";0,00;"49";0,00;"500";"20019000";0,00;
38588;"7891132083060";"SAZON PIPOCA CHURRASCO 60G";"49";0,00;"49";0,00;"500";"21039021";0,00;
38661;"7898126700026";"BEBIDA DE FRUTA TIKITO LARANJA 450ML";"06";0,00;"06";0,00;"500";"22021000";0,00;
38662;"7898126700040";"BEBIDA DE FRUTA TIKITO 450ML";"06";0,00;"06";0,00;"500";"22021000";0,00;
38663;"7898126700033";"BEBIDA DE FRUTA TIKITO UVA 450ML";"06";0,00;"06";0,00;"500";"22021000";0,00;
36997;"7896098909751";"SABAO EM PO TIXAN CONCENTRADO MACIEZ 800G";"49";0,00;"49";0,00;"500";"34025000";0,00;
38640;"0000000038640";"LINGUICA MISTA DEFUMADA PERDIGAO KG";"06";4,77;"06";0,00;"102";"16010000";0,00;
38679;"0000000038679";"LAMP LED KIAN BULBO 15,0W";"";1,25;"";0,00;"500";"85395200";0,00;
